Ticker,Type,Entry Date,Exit Date,Exit Reason,Entry Price,Exit Price,Qty,Gross P/L,Brokerage,Net P/L,Return %,Cumulative P/L,Equity
^NSEI,SHORT,2024-02-23 04:45,2024-02-27 04:45,T3 Cross Up,22236.7,22145.1,22,2015.19,1464.6,550.59,0.11,550.59,2000550.59
^NSEI,LONG,2024-02-27 04:45,2024-02-28 04:45,T3 Cross Down,22145.1,22062.05,22,-1827.07,1458.84,-3285.91,-0.67,-2735.3199999999997,1997264.68
^NSEI,SHORT,2024-02-28 04:45,2024-02-29 06:45,T3 Cross Up,22062.05,21969.95,22,2026.23,1453.06,573.18,0.12,-2162.14,1997837.86
^NSEI,LONG,2024-02-29 06:45,2024-03-04 09:45,T3 Cross Down,21969.95,22397.65,22,9409.43,1464.13,7945.29,1.64,5783.15,2005783.15
^NSEI,SHORT,2024-03-04 09:45,2024-03-06 07:45,T3 Cross Up,22397.65,22403.45,22,-127.57,1478.44,-1606.01,-0.33,4177.139999999999,2004177.14
^NSEI,LONG,2024-03-06 07:45,2024-03-11 03:45,T3 Cross Down,22403.45,22431.7,22,621.5,1479.56,-858.06,-0.17,3319.0799999999995,2003319.08
^NSEI,SHORT,2024-03-11 03:45,2024-03-12 03:45,T3 Cross Up,22431.7,22437.75,22,-133.12,1480.69,-1613.81,-0.33,1705.2699999999995,2001705.27
^NSEI,LONG,2024-03-12 03:45,2024-03-12 04:45,T3 Cross Down,22437.75,22361.05,22,-1687.38,1478.36,-3165.74,-0.64,-1460.4700000000003,1998539.53
^NSEI,SHORT,2024-03-12 04:45,2024-03-14 04:45,T3 Cross Up,22361.05,22083.5,22,6106.12,1466.67,4639.45,0.94,3178.9799999999996,2003178.98
^NSEI,LONG,2024-03-14 04:45,2024-03-15 03:45,T3 Cross Down,22083.5,22013.1,22,-1548.81,1455.19,-3004.0,-0.62,174.97999999999956,2000174.98
^NSEI,SHORT,2024-03-15 03:45,2024-03-18 05:45,T3 Cross Up,22013.1,22034.1,22,-462.0,1453.56,-1915.56,-0.4,-1740.5800000000004,1998259.42
^NSEI,LONG,2024-03-18 05:45,2024-03-19 03:45,T3 Cross Down,22034.1,21890.75,22,-3153.69,1449.52,-4603.21,-0.95,-6343.790000000001,1993656.21
^NSEI,SHORT,2024-03-19 03:45,2024-03-20 05:45,T3 Cross Up,21890.75,21834.45,22,1238.62,1442.93,-204.31,-0.04,-6548.100000000001,1993451.9
^NSEI,LONG,2024-03-20 05:45,2024-03-26 03:45,T3 Cross Down,21834.45,22023.9,22,4167.93,1447.33,2720.6,0.57,-3827.5000000000014,1996172.5
^NSEI,SHORT,2024-03-26 03:45,2024-03-27 03:45,T3 Cross Up,22023.9,22146.45,22,-2696.07,1457.62,-4153.7,-0.86,-7981.200000000001,1992018.8
^NSEI,LONG,2024-03-27 03:45,2024-03-27 08:45,T3 Cross Down,22146.45,22116.15,22,-666.57,1460.67,-2127.24,-0.44,-10108.44,1989891.56
